Timestamp,Direction,RTT_ms,RTTvar_ms,Retransmissions,CWND,SSTHRESH,Throughput_Mbps
0.000,C_S,518.087,259.043,0,10,2147483647,N/A
1.001,C_S,N/A,N/A,N/A,N/A,N/A,0.0006
1.001,S_C,N/A,N/A,N/A,N/A,N/A,0.0000
1.011,S_C,1311.000,655.500,0,10,2147483647,N/A
1.759,C_S,579.690,317.488,0,10,2147483647,N/A
2.140,S_C,1240.622,632.380,0,10,2147483647,N/A
2.140,C_S,N/A,N/A,N/A,N/A,N/A,0.0006
2.140,S_C,N/A,N/A,N/A,N/A,N/A,0.0011
2.769,C_S,554.736,288.024,0,10,2147483647,N/A
3.153,S_C,1164.137,627.255,0,10,2147483647,N/A
3.153,C_S,N/A,N/A,N/A,N/A,N/A,0.0006
3.153,S_C,N/A,N/A,N/A,N/A,N/A,0.0006
3.447,C_S,533.443,258.604,0,10,2147483647,N/A
3.656,S_C,1055.268,634.871,0,10,2147483647,N/A
4.228,C_S,492.846,260.672,0,10,2147483647,N/A
4.228,C_S,N/A,N/A,N/A,N/A,N/A,0.0012
4.228,S_C,N/A,N/A,N/A,N/A,N/A,0.0006
4.713,S_C,994.948,596.793,0,10,2147483647,N/A
5.032,C_S,491.765,197.665,0,10,2147483647,N/A
5.569,S_C,910.469,599.262,0,10,2147483647,N/A
5.569,C_S,N/A,N/A,N/A,N/A,N/A,0.0005
5.569,S_C,N/A,N/A,N/A,N/A,N/A,0.0010
5.771,C_S,497.324,159.366,0,10,2147483647,N/A
6.606,S_C,821.852,602.690,0,10,2147483647,N/A
6.606,C_S,N/A,N/A,N/A,N/A,N/A,0.0006
6.606,S_C,N/A,N/A,N/A,N/A,N/A,0.0006
7.219,C_S,539.512,203.902,0,10,2147483647,N/A
7.521,S_C,795.726,504.268,0,10,2147483647,N/A
7.920,C_S,509.857,204.944,0,10,2147483647,N/A
7.920,C_S,N/A,N/A,N/A,N/A,N/A,0.0010
7.920,S_C,N/A,N/A,N/A,N/A,N/A,0.0005
8.184,S_C,746.093,477.468,0,10,2147483647,N/A
8.797,C_S,479.122,206.223,0,10,2147483647,N/A
9.091,S_C,729.473,391.340,0,10,2147483647,N/A
9.091,C_S,N/A,N/A,N/A,N/A,N/A,0.0006
9.091,S_C,N/A,N/A,N/A,N/A,N/A,0.0011
9.292,C_S,455.873,201.165,0,10,2147483647,N/A
9.512,S_C,663.413,395.626,0,10,2147483647,N/A
9.747,C_S,426.249,202.285,0,10,2147483647,N/A
9.965,S_C,609.970,396.623,0,10,2147483647,N/A
10.168,C_S,400.129,202.493,0,10,2147483647,N/A
10.168,C_S,N/A,N/A,N/A,N/A,N/A,0.0018
10.168,S_C,N/A,N/A,N/A,N/A,N/A,0.0012
10.371,S_C,559.157,396.932,0,10,2147483647,N/A
10.600,C_S,375.474,201.180,0,10,2147483647,N/A
10.801,S_C,517.882,380.248,0,10,2147483647,N/A
11.015,C_S,353.640,194.551,0,10,2147483647,N/A
11.315,S_C,479.872,361.207,0,10,2147483647,N/A
11.315,C_S,N/A,N/A,N/A,N/A,N/A,0.0011
11.315,S_C,N/A,N/A,N/A,N/A,N/A,0.0017
11.544,C_S,346.853,159.488,0,10,2147483647,N/A
11.747,S_C,448.584,333.481,0,10,2147483647,N/A
11.948,C_S,328.749,155.824,0,10,2147483647,N/A
