Timestamp,Direction,RTT_ms,RTTvar_ms,Retransmissions,CWND,SSTHRESH,Throughput_Mbps
0.000,C_S,105.060,52.530,0,10,2147483647,N/A
0.104,S_C,111.427,55.713,0,10,2147483647,N/A
0.207,C_S,104.789,39.939,0,10,2147483647,N/A
0.309,S_C,110.296,44.047,0,10,2147483647,N/A
0.411,C_S,104.519,30.494,0,10,2147483647,N/A
0.513,S_C,109.255,35.117,0,10,2147483647,N/A
0.615,C_S,104.162,23.584,0,10,2147483647,N/A
0.717,S_C,108.245,28.358,0,10,2147483647,N/A
0.817,C_S,103.751,18.510,0,10,2147483647,N/A
0.921,S_C,107.290,23.178,0,10,2147483647,N/A
1.022,C_S,103.632,14.121,0,10,2147483647,N/A
1.022,C_S,N/A,N/A,N/A,N/A,N/A,0.0038
1.022,S_C,N/A,N/A,N/A,N/A,N/A,0.0032
1.123,S_C,106.528,18.907,0,10,2147483647,N/A
1.226,C_S,103.255,11.345,0,10,2147483647,N/A
1.327,S_C,106.086,15.065,0,10,2147483647,N/A
1.452,C_S,102.982,9.055,0,10,2147483647,N/A
1.558,S_C,108.353,15.832,0,10,2147483647,N/A
1.661,C_S,103.114,7.055,0,10,2147483647,N/A
1.803,S_C,107.689,13.201,0,10,2147483647,N/A
1.976,C_S,107.913,14.890,0,10,2147483647,N/A
2.078,S_C,115.903,26.328,0,10,2147483647,N/A
2.078,C_S,N/A,N/A,N/A,N/A,N/A,0.0025
2.078,S_C,N/A,N/A,N/A,N/A,N/A,0.0031
2.178,C_S,107.092,12.809,0,10,2147483647,N/A
2.279,S_C,113.961,23.631,0,10,2147483647,N/A
2.391,C_S,106.335,11.121,0,10,2147483647,N/A
2.499,S_C,113.685,18.274,0,10,2147483647,N/A
2.601,C_S,106.430,8.531,0,10,2147483647,N/A
2.705,S_C,112.131,16.813,0,10,2147483647,N/A
2.807,C_S,106.125,7.009,0,10,2147483647,N/A
2.911,S_C,110.829,15.215,0,10,2147483647,N/A
3.012,C_S,105.773,5.960,0,10,2147483647,N/A
3.114,S_C,109.616,13.837,0,10,2147483647,N/A
3.114,C_S,N/A,N/A,N/A,N/A,N/A,0.0031
3.114,S_C,N/A,N/A,N/A,N/A,N/A,0.0031
3.217,C_S,105.281,5.454,0,10,2147483647,N/A
3.319,S_C,108.767,12.075,0,10,2147483647,N/A
3.421,C_S,104.846,4.962,0,10,2147483647,N/A
3.523,S_C,107.860,10.870,0,10,2147483647,N/A
3.642,C_S,104.457,4.499,0,10,2147483647,N/A
3.746,S_C,109.262,10.955,0,10,2147483647,N/A
3.847,C_S,104.317,3.654,0,10,2147483647,N/A
3.948,S_C,108.235,10.270,0,10,2147483647,N/A
4.053,C_S,103.870,3.634,0,10,2147483647,N/A
4.157,S_C,107.818,8.536,0,10,2147483647,N/A
4.157,C_S,N/A,N/A,N/A,N/A,N/A,0.0031
4.157,S_C,N/A,N/A,N/A,N/A,N/A,0.0031
4.888,C_S,103.823,2.820,0,10,2147483647,N/A
4.989,S_C,106.966,8.107,0,10,2147483647,N/A
5.090,C_S,103.406,2.836,0,10,2147483647,N/A
5.191,S_C,106.137,7.737,0,10,2147483647,N/A
5.191,C_S,N/A,N/A,N/A,N/A,N/A,0.0013
5.191,S_C,N/A,N/A,N/A,N/A,N/A,0.0013
5.292,C_S,103.124,2.690,0,10,2147483647,N/A
5.425,S_C,105.450,7.177,0,10,2147483647,N/A
5.534,C_S,106.895,9.559,0,10,2147483647,N/A
5.652,S_C,105.813,6.107,0,10,2147483647,N/A
5.755,C_S,106.858,7.243,0,10,2147483647,N/A
5.857,S_C,105.494,5.217,0,10,2147483647,N/A
6.271,C_S,106.244,6.659,0,10,2147483647,N/A
6.271,C_S,N/A,N/A,N/A,N/A,N/A,0.0024
6.271,S_C,N/A,N/A,N/A,N/A,N/A,0.0018
6.374,S_C,105.433,4.036,0,10,2147483647,N/A
6.477,C_S,105.786,5.912,0,10,2147483647,N/A
6.580,S_C,105.060,3.773,0,7,7,N/A
6.708,C_S,105.451,5.104,0,10,2147483647,N/A
6.810,S_C,107.776,8.263,0,7,7,N/A
6.913,C_S,105.037,4.654,0,10,2147483647,N/A
7.017,S_C,107.165,7.419,0,7,7,N/A
7.125,C_S,104.938,3.689,0,10,2147483647,N/A
7.242,S_C,107.270,5.775,0,7,7,N/A
7.357,C_S,106.352,5.593,0,10,2147483647,N/A
7.357,C_S,N/A,N/A,N/A,N/A,N/A,0.0030
7.357,S_C,N/A,N/A,N/A,N/A,N/A,0.0030
7.460,S_C,108.317,6.426,0,7,7,N/A
7.562,C_S,105.771,5.357,0,10,2147483647,N/A
7.664,S_C,107.419,6.449,0,7,7,N/A
7.784,C_S,105.286,4.988,0,10,2147483647,N/A
7.885,S_C,109.011,8.021,0,7,7,N/A
7.988,C_S,104.701,4.910,0,10,2147483647,N/A
8.090,S_C,108.173,7.693,0,7,7,N/A
8.193,C_S,104.401,4.282,0,10,2147483647,N/A
8.297,S_C,107.472,7.172,0,7,7,N/A
8.402,C_S,104.064,3.886,0,10,2147483647,N/A
8.402,C_S,N/A,N/A,N/A,N/A,N/A,0.0031
8.402,S_C,N/A,N/A,N/A,N/A,N/A,0.0031
8.503,S_C,107.087,6.148,0,7,7,N/A
8.623,C_S,103.742,3.559,0,10,2147483647,N/A
8.724,S_C,108.657,7.751,0,7,7,N/A
8.825,C_S,103.378,3.397,0,10,2147483647,N/A
8.956,S_C,107.651,7.760,0,7,7,N/A
9.068,C_S,106.845,9.481,0,10,2147483647,N/A
9.254,S_C,108.117,6.754,0,7,7,N/A
9.355,C_S,116.728,26.877,0,10,2147483647,N/A
9.457,S_C,107.189,6.775,0,7,7,N/A
9.457,C_S,N/A,N/A,N/A,N/A,N/A,0.0025
9.457,S_C,N/A,N/A,N/A,N/A,N/A,0.0031
9.565,C_S,114.920,23.774,0,10,2147483647,N/A
9.668,S_C,107.278,5.259,0,7,7,N/A
9.770,C_S,113.392,20.888,0,10,2147483647,N/A
9.871,S_C,106.600,5.264,0,7,7,N/A
9.974,C_S,111.864,18.722,0,10,2147483647,N/A
10.076,S_C,106.073,5.002,0,7,7,N/A
10.177,C_S,110.692,16.385,0,10,2147483647,N/A
10.286,S_C,105.413,5.011,0,7,7,N/A
10.387,C_S,110.455,12.762,0,10,2147483647,N/A
10.488,S_C,104.819,4.946,0,7,7,N/A
10.488,C_S,N/A,N/A,N/A,N/A,N/A,0.0031
10.488,S_C,N/A,N/A,N/A,N/A,N/A,0.0031
10.590,C_S,109.325,11.831,0,10,2147483647,N/A
10.691,S_C,104.307,4.732,0,7,7,N/A
10.892,C_S,108.315,10.893,0,10,2147483647,N/A
11.072,S_C,116.410,27.755,0,7,7,N/A
11.174,C_S,117.181,25.902,0,10,2147483647,N/A
11.276,S_C,114.600,24.437,0,7,7,N/A
11.377,C_S,115.181,23.427,0,10,2147483647,N/A
11.513,S_C,112.933,21.661,0,7,7,N/A
11.513,C_S,N/A,N/A,N/A,N/A,N/A,0.0025
11.513,S_C,N/A,N/A,N/A,N/A,N/A,0.0025
11.629,C_S,117.729,22.665,0,10,2147483647,N/A
11.730,S_C,113.307,16.992,0,7,7,N/A
11.832,C_S,115.563,21.330,0,10,2147483647,N/A
11.933,S_C,111.853,15.651,0,7,7,N/A
12.058,C_S,113.726,19.672,0,10,2147483647,N/A
12.218,S_C,113.434,14.899,0,7,7,N/A
12.325,C_S,119.509,26.321,0,10,2147483647,N/A
12.475,S_C,112.651,12.740,0,7,7,N/A
12.581,C_S,123.268,27.258,0,10,2147483647,N/A
12.581,C_S,N/A,N/A,N/A,N/A,N/A,0.0030
12.581,S_C,N/A,N/A,N/A,N/A,N/A,0.0024
12.709,S_C,111.748,11.361,0,7,7,N/A
12.822,C_S,123.840,21.588,0,10,2147483647,N/A
12.971,S_C,111.888,8.801,0,7,7,N/A
13.089,C_S,126.876,22.263,0,10,2147483647,N/A
13.278,S_C,112.601,8.027,0,7,7,N/A
